num,fit
2,-0.231418286
0,-0.180099396
1,-0.274408708
0,-0.171684892
1,-0.180543323
0,-0.186883483
0,-0.178419236
1,-0.205618158
3,-0.202088596
1,-0.253268791
0,-0.191562744
0,-0.249211776
0,-0.179805218
0,-0.218909576
0,-0.152348276
1,-0.177040831
2,-0.211180348
0,-0.261961259
0,-0.185231682
1,-0.187002961
0,-0.170642054
0,-0.217841782
0,-0.179383694
0,-0.243493167
0,-0.21900414
1,-0.238877085
0,-0.225270927
0,-0.237071342
0,-0.226833417
0,-0.191544201
0,-0.21405197
0,-0.186853789
0,-0.167994441
0,-0.18928356
0,-0.221881293
0,-0.192558298
0,-0.254831811
0,-0.239968478
0,-0.235820621
0,-0.213611194
0,-0.173594177
0,-0.192666102
1,-0.200531512
0,-0.230131228
0,-0.204467722
2,-0.169684595
0,-0.153288608
0,-0.169793614
0,-0.187184011
0,-0.189172878
2,-0.215265545
0,-0.244070017
0,-0.183911541
0,-0.182439164
0,-0.211800408
0,-0.210900572
0,-0.239795417
1,-0.159003277
0,-0.219770652
0,-0.210500494
0,-0.243021544
1,-0.222995045
1,-0.212868101
0,-0.206299614
1,-0.223367783
0,-0.164444291
1,-0.289114203
1,-0.232279928
1,-0.257802049
0,-0.227298146
0,-0.254618984
2,-0.258914219
0,-0.233568526
0,-0.252283702
0,-0.246627777
0,-0.250167559
0,-0.211170341
0,-0.233537586
0,-0.209226572
0,-0.153592822
0,-0.200552809
1,-0.23043265
0,-0.21191206
0,-0.209376646
1,-0.24117523
0,-0.205782748
0,-0.230835303
1,-0.19369716
0,-0.259418627
0,-0.231241334
0,-0.219996541
0,-0.216501083
0,-0.225480357
0,-0.191379604
1,-0.169552597
1,-0.186426047
0,-0.243603115
0,-0.22312268
1,-0.185249272
0,-0.210346786
0,-0.248106441
1,-0.233521322
0,-0.204603637
0,-0.174687398
1,-0.220569308
0,-0.244065614
1,-0.237694495
0,-0.211965599
0,-0.271522145
0,-0.200177405
0,-0.190343572
0,-0.198415637
1,-0.185345009
0,-0.211984556
0,-0.21465242
2,-0.23557894
0,-0.208576619
1,-0.271758519
0,-0.234234395
0,-0.23453248
0,-0.165218512
0,-0.214726618
1,-0.175052647
0,-0.204222479
0,-0.199205874
0,-0.209585851
0,-0.179935731
0,-0.180306138
0,-0.224990496
0,-0.233142419
0,-0.261578761
1,-0.210403398
0,-0.210029148
0,-0.234805134
0,-0.190922689
1,-0.158156199
0,-0.212273958
0,-0.195753315
0,-0.233531265
0,-0.246418447
0,-0.20916562
0,-0.25908536
1,-0.208975565
0,-0.247201199
0,-0.217025267
0,-0.166642966
0,-0.240301848
0,-0.198658039
1,-0.211902755
0,-0.163216217
0,-0.22603065
2,-0.168660364
0,-0.231343599
0,-0.206568491
0,-0.237730688
0,-0.269632307
1,-0.225792297
0,-0.193150967
2,-0.218434706
0,-0.244310055
1,-0.224491864
0,-0.178192591
0,-0.159812441
1,-0.22902207
0,-0.289898465
0,-0.235562114
0,-0.233957144
0,-0.225300878
0,-0.212086881
0,-0.277381677
0,-0.205694597
0,-0.247312305
0,-0.192903785
0,-0.204247325
0,-0.212824839
0,-0.192396215
0,-0.241809189
0,-0.264095854
0,-0.198411785
0,-0.204766582
0,-0.190352447
0,-0.241004352
0,-0.205691887
0,-0.151446837
0,-0.247281644
0,-0.249430114
0,-0.214251353
0,-0.204655435
0,-0.280826722
0,-0.241017324
1,-0.245714899
0,-0.226035097
0,-0.223780647
2,-0.209718857
0,-0.209986242
0,-0.223326749
0,-0.186553786
0,-0.273708698
0,-0.209723004
0,-0.210169879
0,-0.180097355
0,-0.23466247
0,-0.21011471
0,-0.221725982
0,-0.25874943
0,-0.200274689
0,-0.23544113
0,-0.19871704
0,-0.212338173
2,-0.184439385
0,-0.196562832
0,-0.162259997
0,-0.286574495
1,-0.280730304
0,-0.208515669
0,-0.184915868
0,-0.197124277
0,-0.226126605
0,-0.260505513
0,-0.230710713
0,-0.217508739
1,-0.266232059
0,-0.201536632
0,-0.21530119
0,-0.241480852
0,-0.190941045
0,-0.174479346
0,-0.236888089
0,-0.229220041
2,-0.201816158
0,-0.206942726
0,-0.196927568
0,-0.223822337
0,-0.250887508
0,-0.231250288
0,-0.194212539
0,-0.201659299
4,-0.227446588
0,-0.289248876
0,-0.239326252
0,-0.192542684
0,-0.245478449
0,-0.276335417
0,-0.20384206
0,-0.234972916
0,-0.188927219
3,-0.203339981
0,-0.203701581
0,-0.226840253
0,-0.229132964
0,-0.217266673
0,-0.196356984
0,-0.231410608
0,-0.235874517
0,-0.178272897
0,-0.200620848
0,-0.172252017
0,-0.198779077
0,-0.165760035
0,-0.249174387
0,-0.198404552
0,-0.211544417
0,-0.1919409
0,-0.187761328
1,-0.225595591
0,-0.274977764
0,-0.217312319
0,-0.276464983
0,-0.21015369
0,-0.173478518
0,-0.201560877
0,-0.20333265
0,-0.188163904
0,-0.201890865
0,-0.199183068
0,-0.243078708
0,-0.196432382
0,-0.2314964
0,-0.201986892
0,-0.215947775
0,-0.153175626
0,-0.195635342
0,-0.188430613
1,-0.211014603
0,-0.218667374
0,-0.141181094
0,-0.194696515
2,-0.245603378
1,-0.238825737
1,-0.207934307
0,-0.241674292
0,-0.196036435
0,-0.231475701
0,-0.217318532
0,-0.210663047
0,-0.222528552
0,-0.212054676
0,-0.238030055
0,-0.204514104
0,-0.238699612
0,-0.167886016
0,-0.275579541
0,-0.255247677
0,-0.230411694
0,-0.201779253
0,-0.211454255
0,-0.221720603
0,-0.24266421
0,-0.164304225
0,-0.191793334
2,-0.269396366
0,-0.168794359
0,-0.189818491
0,-0.232966088
0,-0.209077807
0,-0.190549158
2,-0.253208699
0,-0.225931009
0,-0.186469621
0,-0.242504124
0,-0.237873421
0,-0.216141208
0,-0.183389143
0,-0.215863727
0,-0.20880593
0,-0.204505266
0,-0.20201662
0,-0.18802697
0,-0.228766455
0,-0.154179034
0,-0.227548339
0,-0.179150498
0,-0.225540287
1,-0.195056548
0,-0.223073465
0,-0.224661678
0,-0.20723335
0,-0.179562491
0,-0.192766662
0,-0.255475445
0,-0.21007973
1,-0.218461588
0,-0.158135112
1,-0.294415849
0,-0.260913412
0,-0.233733684
0,-0.179782852
0,-0.208179228
0,-0.241544812
0,-0.254388073
1,-0.193482258
1,-0.172374309
0,-0.20847716
0,-0.25395128
0,-0.234557656
0,-0.203886856
0,-0.228563332
0,-0.203363193
0,-0.219848999
0,-0.185270064
0,-0.245691641
0,-0.190568616
0,-0.236876209
0,-0.258239981
0,-0.215121133
0,-0.21289019
0,-0.225254509
0,-0.18394889
0,-0.198035502
0,-0.231503285
0,-0.207152498
0,-0.24029938
0,-0.191936596
0,-0.195163042
0,-0.207411398
1,-0.180244576
0,-0.175376139
1,-0.219513039
0,-0.217343496
0,-0.267157722
0,-0.221978649
0,-0.259669508
0,-0.144949636
0,-0.212038565
0,-0.218491089
0,-0.220043919
0,-0.195623561
0,-0.202268537
0,-0.266981388
2,-0.233716959
0,-0.210443756
0,-0.214628092
0,-0.228286955
0,-0.207735487
0,-0.223079961
0,-0.174673928
0,-0.235563898
0,-0.236122555
0,-0.201957779
0,-0.240865538
0,-0.205964456
0,-0.181450165
0,-0.242170016
0,-0.2113665
0,-0.184361443
0,-0.258110791
0,-0.224345582
0,-0.233568487
0,-0.24180679
0,-0.17738508
0,-0.203386472
0,-0.226937732
0,-0.241797913
0,-0.192772203
0,-0.234785991
0,-0.188693839
0,-0.222744951
0,-0.212908551
0,-0.235238723
0,-0.216971147
0,-0.200171424
1,-0.229074187
0,-0.239890024
0,-0.191939938
0,-0.207400888
0,-0.241476416
3,-0.206457197
0,-0.203801836
0,-0.238757565
0,-0.17678287
0,-0.186992525
0,-0.245737277
1,-0.244069289
0,-0.24397295
0,-0.22554299
1,-0.226227482
0,-0.217302266
1,-0.2326311
0,-0.195883389
0,-0.206654845
0,-0.263844833
0,-0.254360694
0,-0.215784353
0,-0.227640735
0,-0.203069264
0,-0.230345365
0,-0.181170819
0,-0.25160441
0,-0.237616781
0,-0.176992297
0,-0.211562932
0,-0.252881919
0,-0.224573373
0,-0.224896088
0,-0.229618032
0,-0.18507138
1,-0.265679117
0,-0.230361278
0,-0.19914912
0,-0.237554698
0,-0.235858038
0,-0.209249479
0,-0.240949903
0,-0.217583887
1,-0.20963681
0,-0.197596763
0,-0.206437419
0,-0.222785161
0,-0.252850624
3,-0.26055503
0,-0.257014703
1,-0.174836586
0,-0.230002967
0,-0.18303832
0,-0.237146228
0,-0.23477142
0,-0.21674641
0,-0.219998274
0,-0.20284097
0,-0.18471626
0,-0.205630554
0,-0.236496216
0,-0.191835915
0,-0.21702505
1,-0.179676859
0,-0.16395661
0,-0.169920865
1,-0.238544917
2,-0.231920918
0,-0.194385451
0,-0.226301352
4,-0.211122636
0,-0.233571079
0,-0.239188587
0,-0.221244722
0,-0.250653008
0,-0.186900805
0,-0.236579161
0,-0.211859578
0,-0.232364695
